,PID,BAI,PARCELID,PROPLOC,SUBDIV,LAND_ASSESS,IMPROV_ASSESS,TOTAL_ASSESS,CITY,STATE,ZIP,SALE_DATE,SALE_PRICE,IMPROVE_VACANT,DEED,YR_BUILT,STYLE,GRADE,ROOF_STRUCT,ROOF_COVER,EXT_WALLCOV,HEAT_FUEL,AC_TYPE,INT_FLOOR,NUM_BED,NUM_BATH,LIVING_SQFT,ACRES,ZONING,UTILITIES,STREET_QUALITY
10,11,12,N11-1356-1006,10018 TUNSTALL RD ,PT OF WOODLAWN,76800,187900,264700,NEW KENT,VA,23124,2011-09-21 00:00:00,,I,,1999.0,Ranch,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Central,Carpet,3.0,2.0,1536.0,2.0,A1,"Well/Septic,Electric",Paved
11,12,13,N11-1486-1098,10020 TUNSTALL RD ,PT OF WOODLAWN,76800,197600,274400,NEW KENT,VA,23124,2015-12-11 00:00:00,218000.0,I,,1993.0,Ranch,C++,Gable,Dimen Shingle,Vinyl Siding,Electric,Central,Carpet,3.0,2.0,1568.0,2.0,A1,"Well/Septic,Electric",Paved
12,13,14,N11-1613-1177,10060 TUNSTALL RD ,WOODLAWN,76800,215500,292300,NEW KENT,VA,23124,2016-08-09 00:00:00,0.0,I,DEED OF GIFT,1993.0,Ranch,C,Gable,Dimen Shingle,Brick,Electric,Central,Carpet,2.0,2.0,1600.0,2.0,A1,"Well/Septic,Electric",Paved
13,14,15,N11-1741-1266,10100 TUNSTALL RD ,PT OF WOODLAWN  LOT 4,76800,244300,321100,NEW KENT,VA,23124,1995-07-05 00:00:00,134000.0,,,1994.0,Ranch,C,Gable,Dimen Shingle,Brick,Electric,Central,Carpet,3.0,2.0,1818.0,2.01,A1,"Well/Septic,Electric",Paved
14,15,18,K10-3033-3056,8015 EDDIE LN ,QUINTON ESTATES,51400,227800,279200,QUINTON,VA,23141,1995-01-19 00:00:00,97500.0,,,1994.0,Ranch,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1408.0,0.48,R1,"PW / Septic,Electric",Paved
15,16,22,K10-2427-3164,5601 QUINTON ESTATES DR ,QUINTON ESTATES,55300,272700,328000,QUINTON,VA,23141,2021-08-16 00:00:00,327000.0,I,,1994.0,Cape Cod,C+,Gable,Comp Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,4.0,2.0,1562.0,0.58,R1,"Public Water,Septic,Electric",Paved
16,17,23,K10-2509-3086,5607 QUINTON ESTATES DR ,QUINTON ESTATES,51900,150600,202500,QUINTON,VA,23141,2019-05-07 00:00:00,88203.0,I,ESTATE SALE-NOT LISTED ON MLS,1993.0,Ranch,C--,Gable,Comp Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1394.0,0.49,R1,"Public Water,Septic,Electric",Paved
17,18,24,K10-2578-2995,5613 QUINTON ESTATES DR ,QUINTON ESTATES,59600,166900,226500,QUINTON,VA,23141,2021-01-11 00:00:00,226950.0,I,,1993.0,Ranch,C--,Gable,Comp Shingle,Vinyl Siding,Electric,Heat Pump,Laminate,3.0,2.0,1200.0,0.62,R1,"Public Water,Septic,Electric",Paved
18,19,25,K10-2356-2995,7940 EDDIE LN ,QUINTON ESTATES,64500,223900,288400,QUINTON,VA,23141,2015-07-28 00:00:00,164000.0,I,,1998.0,Ranch,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Laminate,3.0,3.0,1442.0,0.79,R1,"Public Water,Septic,Electric",Paved
19,20,26,K10-2266-2940,7920 EDDIE LN ,QUINTON ESTATES,65400,263300,328700,QUINTON,VA,23141 ,2020-08-19 00:00:00,260000.0,I,ESTATE-SOLD AS-IS,1996.0,Ranch,C,Gable,Comp Shingle,Brick,Electric,Heat Pump,Hardwood,3.0,2.0,1512.0,0.81,R1,"Public Water,Septic,Electric",Paved
20,21,27,K10-2163-2852,7918 EDDIE LN ,QUINTON ESTATES,68900,147900,216800,QUINTON,VA,23141,2003-09-08 00:00:00,,I,,1999.0,Ranch,C--,Gable,Comp Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1200.0,1.24,R1,"Public Water,Septic,Electric",Paved
21,22,28,K10-2252-2595,7915 EDDIE LN ,QUINTON ESTATES,68700,199000,267700,QUINTON,VA,23141,2018-02-23 00:00:00,208000.0,I,,1997.0,Ranch,C,Gable,Comp Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1176.0,1.21,R1,"Public Water,Septic,Electric",Paved
22,23,29,K10-2408-2680,7931 EDDIE LN ,QUINTON ESTATES,50400,199700,250100,HAMILTON,AL,35570,2006-12-13 00:00:00,214950.0,I,,1994.0,Ranch,C,Gable,Comp Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1352.0,0.46,R1,"Public Water,Septic,Electric",Paved
23,24,30,K10-2501-2717,7937 EDDIE LN ,QUINTON ESTATES,50400,177400,227800,QUINTON,VA,23141,2004-02-02 00:00:00,144500.0,I,,1996.0,Ranch,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,1.0,1300.0,0.46,R1,"Public Water,Septic,Electric",Paved
24,25,31,K10-2590-2767,7943 EDDIE LN ,QUINTON ESTATES,50400,228500,278900,QUINTON,VA,23141,2014-08-01 00:00:00,177000.0,I,,1996.0,Cape Cod,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,4.0,2.0,1630.0,0.46,R1,"Public Water,Septic,Electric",Paved
25,26,32,K10-2696-2825,5675 QUINTON ESTATES DR ,QUINTON ESTATES,57500,206900,264400,LANEXA,VA,23089,2018-08-20 00:00:00,200000.0,I,FAMILY SALE,1994.0,Cape Cod,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1508.0,0.64,R1,"Public Water,Septic,Electric",Paved
26,27,33,K10-2735-2628,5705 QUINTON ESTATES DR ,QUINTON ESTATES,49000,237400,286400,QUINTON,VA,23141,2019-06-03 00:00:00,229950.0,I,,1995.0,Ranch,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Laminate,3.0,2.0,1352.0,0.8,R1,"Public Water,Septic,Electric",Paved
27,28,34,K10-2843-2499,5735 QUINTON ESTATES DR ,QUINTON ESTATES,56800,183400,240200,QUINTON,VA,23141,2016-09-08 00:00:00,182000.0,I,,1998.0,Ranch,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1214.0,0.62,R1,"Public Water,Septic,Electric",Paved
28,29,35,K10-2753-2398,7916 QUINTON CT ,QUINTON ESTATES,55300,182500,237800,QUINTON,VA,23141,2020-10-21 00:00:00,227000.0,I,,1998.0,Ranch,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1214.0,0.58,R1,"Public Water,Septic,Electric",Paved
29,30,36,K10-2621-2477,7912 QUINTON CT ,QUINTON ESTATES,59300,222300,281600,QUINTON,VA,23141,2016-08-17 00:00:00,196350.0,I,,1995.0,Ranch,C,Gable,Comp Shingle,Vinyl Siding,Electric,Heat Pump,Laminate,3.0,2.0,1400.0,0.69,R1,"Public Water,Septic,Electric",Paved
30,31,37,K10-2471-2507,7910 QUINTON CT ,QUINTON ESTATES,56400,215500,271900,QUINTON,VA,23141,2004-04-28 00:00:00,154500.0,I,,1995.0,Ranch,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1300.0,0.61,R1,"Public Water,Septic,Electric",Paved
31,32,38,K10-2391-2414,7906 QUINTON CT ,QUINTON ESTATES,66100,209700,275800,QUINTON,VA,23141,1995-11-01 00:00:00,114000.0,,,1995.0,Ranch,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1366.0,0.88,R1,"Public Water,Septic,Electric",Paved
32,33,39,K10-2430-2271,7905 QUINTON CT ,QUINTON ESTATES,53200,164100,217300,QUINTON,VA,23141,2001-06-01 00:00:00,115000.0,I,,1995.0,Ranch,C,Gable,Comp Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1200.0,0.52,R1,"Public Water,Septic,Electric",Paved
33,34,40,K10-2495-2180,7909 QUINTON CT ,QUINTON ESTATES,54300,184700,239000,QUINTON,VA,23141,2020-07-24 00:00:00,217000.0,I,,1995.0,Ranch,C,Gable,Comp Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1378.0,0.55,R1,"Public Water,Septic,Electric",Paved
34,35,41,K10-2607-2119,7911 QUINTON CT ,QUINTON ESTATES,70200,207300,277500,QUINTON,VA,23141,1995-12-01 00:00:00,116000.0,,,1995.0,Ranch,C,Gable,Comp Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1456.0,1.46,R1,"Public Water,Septic,Electric",Paved
35,36,42,K10-2779-2067,7925 QUINTON CT ,QUINTON ESTATES,75000,187900,262900,QUINTON,VA,23141,2020-07-09 00:00:00,249000.0,I,,1999.0,Ranch,C--,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Hardwood,3.0,2.0,1287.0,2.22,R1,"Public Water,Septic,Electric",Paved
36,37,43,K10-2958-2230,7945 QUINTON CT ,QUINTON ESTATES,70200,244200,314400,QUINTON,VA,23141,2020-07-16 00:00:00,246000.0,I,,1995.0,Ranch,C,Gable,Comp Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1352.0,1.45,R1,"Public Water,Septic,Electric",Paved
37,38,44,K10-3131-2362,5807 QUINTON ESTATES DR ,QUINTON ESTATES,50400,228300,278700,QUINTON,VA,23141,2001-05-10 00:00:00,119500.0,I,,1993.0,Ranch,C,Gable,Dimen Shingle,Brick,Electric,Heat Pump,Carpet,3.0,2.0,1323.0,0.46,R1,"Public Water,Septic,Electric",Paved
38,39,45,K10-3281-2348,7958 QUINTON PL ,QUINTON ESTATES,56800,183500,240300,QUINTON,VA,23141,2001-04-02 00:00:00,113500.0,I,,1995.0,Ranch,C,Gable,Comp Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,1.0,1200.0,0.62,R1,"Public Water,Septic,Electric",Paved
39,40,46,K10-3270-2156,7950 QUINTON PL ,QUINTON ESTATES,65600,202700,268300,QUINTON,VA,23141,2019-08-13 00:00:00,690.0,I,WELL LOT TM#21E-1-A-2W PURCHASED FROM NEW KENT CTY-CONSOLIDATED W/ TM# 21-E-1-A-25,1993.0,Ranch,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1352.0,0.83,R1,"Public Water,Septic,Electric",Paved
40,41,47,K10-3160-2066,7930 QUINTON PL ,QUINTON ESTATES,67000,267200,334200,QUINTON,VA,23141,2013-08-05 00:00:00,180000.0,I,,1997.0,Colonial,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Hardwood,4.0,2.0,2016.0,0.97,R1,"Public Water,Septic,Electric",Paved
41,42,48,K10-3049-2024,7912 QUINTON PL ,QUINTON ESTATES,59600,259500,319100,QUINTON,VA,23141,1996-08-13 00:00:00,129600.0,V,,1996.0,Colonial,C,Gable,Comp Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,4.0,2.0,1824.0,0.7,R1,"Public Water,Septic,Electric",Paved
42,43,49,K10-2819-1673,7913 QUINTON PL ,QUINTON ESTATES,75700,241800,317500,QUINTON,VA,23141,2019-10-22 00:00:00,249000.0,I,,1998.0,Modern Ranch,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Laminate,3.0,2.0,1300.0,2.56,R1,"Public Water,Septic,Electric",Paved
43,44,50,K10-3044-1582,7911 QUINTON PL ,QUINTON ESTATES,73500,179100,252600,QUINTON,VA,23141,2015-04-01 00:00:00,162900.0,I,FORECLOSURE RESALE; DOM 61,1996.0,Ranch,C,Gable,Comp Shingle,Vinyl Siding,Electric,Heat Pump,Hardwood,3.0,2.0,1268.0,1.98,R1,"Public Water,Septic,Electric",Paved
44,45,51,K10-3237-1475,7915 QUINTON PL ,QUINTON ESTATES,73700,236600,310300,QUINTON,VA,23141,2003-10-17 00:00:00,175000.0,I,,1994.0,Modified Ranch,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,2166.0,2.01,R1,"Public Water,Septic,Electric",Paved
45,46,52,K10-3338-1570,7925 QUINTON PL ,QUINTON ESTATES,73200,248700,321900,QUINTON,VA,23141,2002-03-29 00:00:00,145950.0,I,,1996.0,Colonial,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1632.0,1.93,R1,"Public Water,Septic,Electric",Paved
46,47,53,K10-3530-1503,TRINA CT,QUINTON ESTATES,72100,0,72100,VERONA,WI,53593,1994-12-01 00:00:00,20000.0,V,,0.0,,,,,,,,,,,0.0,4.61,R1,,Paved
47,48,54,K10-3695-1808,5950 TRINA CT ,QUINTON ESTATES,73200,143300,216500,QUINTON,VA,23141,2015-04-13 00:00:00,150000.0,I,,1995.0,Ranch,C,Gable,Comp Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,2.0,2.0,1204.0,1.93,R1,"Public Water,Septic,Electric",Paved
48,49,55,K10-3590-2004,5930 TRINA CT ,QUINTON ESTATES,58900,190500,249400,QUINTON,VA,23141,2021-03-23 00:00:00,250000.0,I,,1996.0,Ranch,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Luxury Plank/Tile,3.0,2.0,1218.0,0.82,R1,"Public Water,Septic,Electric",Paved
49,50,56,K10-3533-2096,5900 TRINA CT ,QUINTON ESTATES,61400,183400,244800,QUINTON,VA,23141,2017-10-10 00:00:00,0.0,I,GRANTOR TO TRUSTEE; NO CONSIDERATION,1996.0,Ranch,C,Gable,Comp Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,1.0,1408.0,0.75,R1,"Public Water,Septic,Electric",Paved
50,51,57,K10-3549-2217,7955 QUINTON PL ,QUINTON ESTATES,54600,184300,238900,QUINTON,VA,23141,1996-07-01 00:00:00,95500.0,,,1996.0,Ranch,C,Gable,Comp Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1248.0,0.56,R1,"Public Water,Septic,Electric",Paved
51,52,58,K10-3472-2374,5925 QUINTON ESTATES DR ,QUINTON ESTATES,57800,198600,256400,QUINTON,VA,23141,2020-04-20 00:00:00,0.0,I,,1997.0,Ranch,C,Gable,Comp Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1300.0,0.65,R1,"Public Water,Septic,Electric",Paved
52,53,59,K10-3595-2416,5935 QUINTON ESTATES DR ,QUINTON ESTATES,51400,188200,239600,QUINTON,VA,23141,2004-04-23 00:00:00,155000.0,I,,1997.0,Ranch,C,Gable,Comp Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1212.0,0.48,R1,"Public Water,Septic,Electric",Paved
53,54,60,K10-3702-2449,5945 QUINTON ESTATES DR ,QUINTON ESTATES,56800,279500,336300,QUINTON,VA,23141,2020-03-13 00:00:00,255000.0,I,,1995.0,Ranch,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1352.0,0.62,R1,"Public Water,Septic,Electric",Paved
54,55,61,K10-3691-2248,5963 PLASTER LN ,QUINTON ESTATES,58900,264000,322900,QUINTON,VA,23141,2015-07-27 00:00:00,215000.0,I,,1997.0,Colonial,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,4.0,2.0,1652.0,0.68,R1,"Public Water,Septic,Electric",Paved
55,56,62,K10-3831-2039,5975 PLASTER LN ,QUINTON ESTATES,67200,188400,255600,QUINTON,VA,23141,2021-05-27 00:00:00,0.0,I,,1997.0,Ranch,C,Gable,Comp Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1368.0,0.99,R1,"Public Water,Septic,Electric",Paved
56,57,63,K10-3987-2077,5970 PLASTER LN ,QUINTON ESTATES,67500,233400,300900,QUINTON,VA,23141,2015-08-03 00:00:00,175000.0,I,,2001.0,Cape Cod,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1544.0,1.01,R1,"Public Water,Septic,Electric",Paved
57,58,64,K10-3983-2285,5960 PLASTER LN ,QUINTON ESTATES,46300,237500,283800,QUINTON,VA,23141,2002-01-04 00:00:00,128710.0,V,,2001.0,Colonial,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Central,Carpet,3.0,2.0,1618.0,0.89,R1,"Public Water,Septic,Electric",Paved
58,59,65,K10-3929-2422,5950 PLASTER LN ,QUINTON ESTATES,52500,231100,283600,QUINTON,VA,23141,1997-08-01 00:00:00,131100.0,V,,1997.0,Ranch,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1530.0,0.5,R1,"Public Water,Septic,Electric",Paved
59,60,66,K10-3873-2573,5900 PLASTER LN ,QUINTON ESTATES,56800,192900,249700,QUINTON,VA,23141,2009-03-31 00:00:00,,I,,1993.0,Ranch,C,Gable,Comp Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1374.0,0.62,R1,"Public Water,Septic,Electric",Paved
60,61,67,K11-0075-2370,5975 QUINTON ESTATES DR ,QUINTON ESTATES,66000,195200,261200,QUINTON,VA,23141,2021-06-01 00:00:00,260000.0,I,,1997.0,Ranch,C+,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1200.0,2.24,R1,"Well,Septic,Electric",Paved
61,62,68,K11-0195-2650,6000 QUINTON ESTATES DR ,QUINTON ESTATES,80700,241700,322400,QUINTON,VA,23141,1993-11-01 00:00:00,26500.0,,,1994.0,Ranch,C,Gable,Comp Shingle,Brick,Electric,Heat Pump,Hardwood,3.0,2.0,1404.0,3.12,R1,"Public Water,Septic,Electric",Paved
62,63,69,K11-0194-2829,5990 QUINTON ESTATES DR ,QUINTON ESTATES,57800,203500,261300,QUINTON,VA,23141,2021-04-28 00:00:00,254000.0,I,,2001.0,Ranch,C-,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Laminate,3.0,2.0,1400.0,2.44,R1,"Public Water,Septic,Electric",Paved
63,64,70,K11-0104-2954,5980 QUINTON ESTATES DR ,QUINTON ESTATES,59900,272300,332200,QUINTON,VA,23141,2020-12-16 00:00:00,293450.0,I,,2001.0,Colonial,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,4.0,2.0,1824.0,1.95,R1,"Public Water,Septic,Electric",Paved
64,65,71,K10-3807-2751,5812 PLASTER LN ,QUINTON ESTATES,57500,200200,257700,MECHANICSVILLE,VA,23111,2015-10-21 00:00:00,179950.0,I,,1992.0,Ranch,C++,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Hardwood,3.0,2.0,1232.0,0.64,R1,"Public Water,Septic,Electric",Paved
65,66,72,K10-3780-2929,5806 PLASTER LN ,QUINTON ESTATES,71600,232400,304000,QUINTON,VA,23141,1993-12-01 00:00:00,93600.0,,,1992.0,Cape Cod,C,Gable,Dimen Shingle,Wood Siding,Electric,Heat Pump,Carpet,4.0,2.0,1560.0,1.67,R1,"Public Water,Septic,Electric",Paved
66,67,73,K10-3687-3136,5750 PLASTER LN ,QUINTON ESTATES,78800,233400,312200,QUINTON,VA,23141,2000-04-04 00:00:00,140550.0,I,,1999.0,Colonial,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1824.0,2.82,R1,"PW / Septic,Electric",Paved
67,68,74,K10-3366-3317,5700 PLASTER LN ,QUINTON ESTATES,69200,210200,279400,QUINTON,VA,23141,1992-11-01 00:00:00,0.0,,,1992.0,Cape Cod,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,4.0,2.0,1426.0,1.3,R1,"PW / Septic,Electric",Paved
68,69,75,K10-3027-3471,5610 PLASTER LN ,QUINTON ESTATES,63800,215500,279300,QUINTON,VA,23141,1995-03-01 00:00:00,82400.0,,,1995.0,Cape Cod,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1382.0,0.78,R1,"PW / Septic,Electric",Paved
69,70,76,K10-2700-3473,5601 PLASTER LN ,QUINTON ESTATES,63800,170800,234600,QUINTON,VA,23141,2007-07-17 00:00:00,,V,,1994.0,Ranch,C,Gable,Comp Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1338.0,0.78,R1,"PW / Septic,Electric",Paved
70,71,77,K10-2765-3335,5607 PLASTER LN ,QUINTON ESTATES,51400,225200,276600,QUINTON,VA,23141,2006-06-06 00:00:00,197500.0,I,,1996.0,Cape Cod,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,4.0,2.0,1382.0,0.48,R1,"PW / Septic,Electric",Paved
71,72,78,K10-2898-3312,5613 PLASTER LN ,QUINTON ESTATES,58900,223700,282600,QUINTON,VA,23141,2018-04-30 00:00:00,209000.0,I,KELLY L QUARLES 1/2 INTEREST; WINSTON D & JANE S LADD 1/2 INTEREST; GRANTEE APPROACHED GRANTOR TO PURCHASE; PROPERTY NOT MARKETED,1992.0,Ranch,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Hardwood,3.0,2.0,1584.0,0.68,R1,"PW / Septic,Electric",Paved
72,73,79,K10-2807-3132,8000 EDDIE LN ,QUINTON ESTATES,58200,193200,251400,PROVIDENCE FORGE,VA,23140,2004-11-15 00:00:00,,I,,1992.0,Ranch,C,Gable,Comp Shingle,Brick,Electric,Heat Pump,Carpet,3.0,1.0,1350.0,0.66,R1,"PW / Septic,Electric",Paved
73,74,80,K10-2670-3228,5606 QUINTON ESTATES DR ,QUINTON ESTATES,53200,194500,247700,QUINTON,VA,23141,2020-04-13 00:00:00,219590.0,I,,1992.0,Ranch,C,Gable,Comp Shingle,Brick,Electric,Heat Pump,Carpet,3.0,2.0,1292.0,0.52,R1,"Public Water,Septic,Electric",Paved
74,75,81,K10-2587-3337,5600 QUINTON ESTATES DR ,QUINTON ESTATES,56800,193900,250700,QUINTON,VA,23141,2019-11-15 00:00:00,0.0,I,,1992.0,Ranch,C,Gable,Comp Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1352.0,0.62,R1,"Public Water,Septic,Electric",Paved
75,76,82,K10-2866-2913,8001 EDDIE LN ,QUINTON ESTATES,56800,216300,273100,QUINTON,VA,23141,2018-03-29 00:00:00,221000.0,I,,1993.0,Cape Cod,C,Gable,Comp Shingle,Vinyl Siding,Electric,Heat Pump,Laminate,3.0,2.0,1610.0,0.62,R1,"Public Water,Septic,Electric",Paved
76,77,83,K10-2940-2770,5720 QUINTON ESTATES DR ,QUINTON ESTATES,50400,215300,265700,QUINTON,VA,23141,1997-09-02 00:00:00,91950.0,V,,1997.0,Ranch,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1176.0,0.46,R1,"Public Water,Septic,Electric",Paved
77,78,84,K10-2983-2651,5730 QUINTON ESTATES DR ,QUINTON ESTATES,50900,176300,227200,QUINTON,VA,23141,2007-02-01 00:00:00,,V,,1995.0,Cape Cod,C,Gable,Comp Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1296.0,0.47,R1,"Public Water,Septic,Electric",Paved
78,79,85,K10-3070-2575,8020 QUINTON CR ,QUINTON ESTATES,56800,177900,234700,QUINTON,VA,23141,2016-02-04 00:00:00,110299.0,I,FORECLOSURE RESALE,1994.0,Ranch,C,Gable,Comp Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1200.0,0.62,R1,"Public Water,Septic,Electric",Paved
